age_upon_outcome,sex_upon_outcome,animal_type,breed,color
7,2,1,1080,491
40,2,1,1080,491
38,2,1,1080,491
7,2,1,479,416
14,2,1,1030,173
13,3,1,762,55
13,0,1,839,45
13,2,1,781,173
13,2,1,1031,434
16,3,1,1031,173
14,0,0,544,55
12,3,0,43,149
14,2,1,488,52
12,2,1,230,55
15,2,1,397,374
11,0,1,613,374
17,3,0,551,7
11,2,1,853,7
13,2,1,967,255
13,2,1,967,255
14,3,1,1088,173
10,2,1,720,173
13,2,1,729,349
10,3,1,369,74
11,1,1,978,65
11,2,1,1011,154
10,2,0,552,55
11,2,1,1069,54
13,2,1,988,278
11,2,0,551,30
13,2,1,720,372
12,2,1,720,372
13,3,1,590,37
12,3,1,229,416
10,2,1,590,217
15,2,0,552,7
16,3,1,398,372
10,3,1,913,311
15,3,1,720,372
14,1,1,720,481
12,3,0,552,265
12,2,0,544,55
11,2,1,240,129
12,2,1,194,432
22,2,0,552,432
10,2,1,691,444
11,3,1,720,372
10,2,1,673,416
9,3,1,945,416
12,3,0,552,401
9,2,1,241,7
12,3,0,552,460
10,2,1,33,217
10,2,1,720,38
11,2,0,552,21
10,2,0,552,21
11,3,1,534,171
9,2,1,590,372
15,2,1,876,434
12,3,1,398,55
11,3,1,398,55
10,3,0,552,7
9,3,0,544,305
13,2,1,901,171
10,3,0,552,55
13,3,0,551,63
13,2,0,1051,289
10,3,1,115,416
10,2,1,115,37
9,2,1,453,163
10,3,0,544,7
13,2,1,65,312
16,3,1,876,55
11,3,1,590,372
11,3,0,551,184
9,3,1,590,117
14,2,1,849,52
11,2,0,552,149
11,2,0,552,149
9,3,1,987,444
10,3,1,1056,165
11,3,1,741,7
12,3,1,398,115
12,2,1,153,416
11,2,1,153,416
10,2,0,544,305
12,3,1,720,117
12,3,1,923,55
11,1,1,479,117
11,2,1,398,388
10,2,0,551,278
14,2,1,740,117
11,2,0,1052,279
13,3,1,629,250
11,2,1,590,372
11,2,0,551,136
10,2,0,551,136
12,2,1,590,52
12,3,1,122,154
7,3,0,552,401
14,2,0,544,55
10,2,1,1009,37
9,2,1,1009,37
10,3,0,552,136
9,2,1,65,416
10,3,1,901,173
12,3,0,552,115
7,2,1,876,434
12,3,1,447,372
15,2,1,397,117
14,2,1,397,117
7,3,1,720,154
13,3,1,444,173
12,2,1,719,481
13,2,1,230,55
12,1,1,900,173
44,2,1,457,326
10,2,1,398,416
10,2,1,398,388
10,2,1,750,481
7,3,1,762,8
12,3,1,1013,154
10,2,1,629,326
12,3,1,353,158
9,3,1,230,52
9,3,1,230,52
12,2,1,720,432
14,2,1,230,55
11,2,1,230,55
11,2,1,725,55
9,3,1,590,154
9,3,1,720,173
10,3,1,217,58
44,2,1,750,372
44,2,0,552,7
11,3,1,488,311
12,3,1,720,335
11,2,1,353,37
7,3,1,720,372
7,3,1,720,372
7,3,1,398,55
9,1,0,552,7
7,1,0,552,7
9,3,1,191,416
11,3,1,397,48
11,3,1,397,48
9,3,1,741,154
12,3,0,1027,55
11,2,1,720,7
9,2,1,770,55
9,3,1,720,199
14,3,1,447,311
11,3,0,552,184
11,2,0,552,432
11,3,0,0,137
12,2,0,1052,77
11,3,1,720,372
11,3,0,552,360
9,2,1,590,37
12,2,1,719,372
7,2,0,552,55
7,3,0,790,136
9,3,1,729,7
11,2,1,900,128
10,3,1,669,388
44,2,1,124,58
9,2,1,153,416
9,2,1,153,416
7,3,1,762,432
10,2,1,479,311
9,2,1,652,55
9,2,1,901,173
11,2,1,589,154
10,2,1,780,235
10,2,1,333,173
10,2,1,876,173
10,2,1,876,173
10,3,1,720,7
44,3,1,613,388
7,2,1,369,76
7,2,1,369,76
7,2,1,720,55
14,3,1,230,55
9,2,1,590,154
14,3,1,398,173
7,2,1,590,52
11,3,1,440,481
7,3,1,262,128
7,3,0,552,115
44,3,1,398,372
9,2,0,552,115
11,2,1,314,55
7,2,1,600,37
12,3,1,876,434
35,3,0,552,136
44,3,1,720,326
11,2,1,622,463
9,3,1,901,117
11,3,1,447,311
11,3,1,65,444
44,2,1,590,37
44,2,1,590,37
7,0,1,398,416
7,3,1,1133,372
13,3,1,720,7
7,1,1,900,7
9,3,1,32,432
44,2,1,720,311
11,3,1,720,55
10,3,1,901,311
12,3,1,720,173
11,2,1,828,454
11,2,1,828,454
9,1,1,884,388
7,3,1,1031,173
12,2,0,552,7
10,2,1,747,112
44,2,0,1051,350
44,2,0,552,432
7,2,1,720,234
7,2,1,91,434
7,2,0,552,247
7,2,1,590,173
44,3,1,720,372
7,3,1,1056,55
7,2,1,1006,7
10,2,1,839,45
44,3,1,690,475
44,3,1,690,475
9,2,1,900,327
9,3,1,720,217
12,3,1,479,311
42,2,1,621,454
7,2,1,518,173
44,3,1,720,215
7,2,1,766,311
11,3,1,574,7
13,2,1,720,7
7,3,1,967,374
12,2,1,988,416
11,2,1,398,444
10,3,1,89,446
14,3,1,839,45
42,3,1,1056,43
9,2,1,720,173
10,3,1,901,118
9,2,1,988,434
9,0,1,398,171
10,3,0,552,7
44,3,0,552,184
44,2,1,799,416
10,2,1,720,55
7,2,1,876,444
7,3,1,960,37
44,3,1,230,7
9,2,1,838,55
11,2,1,230,459
44,3,1,353,135
7,3,1,1063,475
10,2,1,901,372
10,2,1,901,372
9,2,1,590,37
9,2,1,900,337
9,3,0,552,55
7,2,1,819,52
10,2,0,552,7
12,3,1,1037,434
11,3,1,383,388
9,3,0,552,7
9,2,1,838,7
15,2,0,43,432
9,2,1,900,388
40,3,1,720,311
7,3,0,552,7
40,2,1,720,55
11,2,1,883,490
7,3,1,900,434
9,2,1,230,55
42,3,1,88,444
10,2,1,398,388
9,2,1,398,388
44,2,1,398,388
10,2,1,1030,416
7,3,1,333,416
7,3,0,551,409
44,2,1,900,388
11,3,1,634,481
42,2,1,590,52
42,3,1,64,94
7,3,1,720,7
44,2,1,720,7
40,2,1,720,55
7,2,1,316,118
42,3,1,23,475
9,3,1,891,258
42,3,1,762,55
11,2,1,923,55
10,2,1,923,55
7,2,1,456,311
7,2,1,1128,372
42,3,1,915,199
42,3,1,590,37
42,3,0,552,305
10,0,1,979,444
10,0,1,979,444
44,3,1,115,444
9,3,0,1052,279
44,3,1,719,481
44,3,1,447,388
44,2,1,720,55
44,3,1,65,416
11,3,1,1118,3
12,3,1,398,372
11,3,1,398,372
42,3,0,1052,289
11,3,1,900,337
7,3,1,589,154
10,2,1,271,173
10,3,1,590,217
42,2,1,590,52
44,3,1,988,477
42,2,1,740,7
42,2,1,740,7
44,3,1,901,444
44,3,1,725,36
44,2,1,472,37
44,3,0,544,7
10,2,1,901,118
44,3,1,276,444
42,3,1,613,52
44,3,1,720,55
44,3,1,900,173
9,3,1,447,154
40,2,1,457,7
12,3,1,536,52
10,2,1,901,173
9,2,1,901,173
44,2,1,900,258
44,3,1,397,37
40,3,1,720,181
42,3,0,552,401
42,3,0,1052,350
9,3,1,397,311
42,2,0,1052,200
7,3,0,552,136
42,3,0,552,136
7,2,1,900,215
44,3,1,720,234
9,3,1,398,117
9,3,1,577,326
7,2,1,1008,37
40,2,1,767,337
7,3,1,230,215
44,3,1,230,215
42,3,1,230,215
7,3,1,247,416
7,3,1,247,416
42,2,0,544,22
7,2,1,635,379
7,2,1,230,55
9,2,1,720,217
44,2,1,1069,388
9,1,1,1002,117
